,psi_ref_hpa,psi_gypsum_hpa,psi_vg_hpa,theta_pct,temp_c,precip_mm,rad_wm2,temp_aire_c
2016-05-24 05:30:00,361.2013433333333,328.25,448.1230095291775,19.015455633463176,10.37,0.0,7,12.2
2016-05-24 06:00:00,360.4451733333333,329.5,448.06608944836194,19.01842877632032,10.285,0.0,0,12.1
2016-05-24 06:30:00,359.14204666666666,327.375,448.1669150557408,19.0131625814318,10.2,0.4,0,12.0
2016-05-24 07:00:00,356.92507666666666,325.25,447.3367754066877,19.056561470703667,10.030000000000001,0.4,20,11.8
2016-05-24 07:30:00,354.8003033333334,325.625,446.8841489625685,19.08026274987629,9.944999999999999,0.2,21,11.7
2016-05-24 08:00:00,351.15289333333334,326.0,446.6603688068682,19.09199074987629,9.775,0.6,27,11.5
2016-05-24 08:30:00,348.30809666666664,325.75,446.503707391737,19.100205087488444,9.52,0.6,36,11.2
2016-05-24 09:00:00,346.23864000000003,325.5,446.4262224217975,19.104269108663285,9.52,0.0,42,11.2
2016-05-24 09:30:00,343.0928733333333,321.625,445.9914479529632,19.12708735433851,9.434999999999999,0.2,47,11.1
2016-05-24 10:00:00,338.51836,317.75,445.9918777900582,19.127064782909937,9.35,0.0,66,11.0
2016-05-24 10:30:00,335.7087266666667,318.5,445.74650929281006,19.139953433157785,9.35,0.0,64,11.0
2016-05-24 11:00:00,331.3707366666667,319.25,445.69127766890153,19.142855718872077,9.35,0.0,99,11.0
2016-05-24 11:30:00,327.8458533333333,317.875,445.52386240661554,19.15165543315779,9.265,0.0,120,10.9
2016-05-24 12:00:00,324.1872333333333,316.5,445.4128870497588,19.15749057601493,9.434999999999999,0.0,152,11.1
2016-05-24 12:30:00,319.83371666666665,314.5,445.6908372820777,19.14287886172921,9.52,0.0,138,11.2
2016-05-24 13:00:00,316.56000666666665,312.5,445.4677432653641,19.15460600458636,9.52,0.0,132,11.2
2016-05-24 13:30:00,312.81184333333334,310.5,445.4682051414766,19.15458171887207,9.605,0.0,151,11.3
2016-05-24 14:00:00,309.22215,308.5,445.3565336098911,19.16045429030064,9.944999999999999,0.0,137,11.7
2016-05-24 14:30:00,305.4928966666667,305.625,445.3011657970826,19.16336657601493,10.2,0.0,139,12.0
2016-05-24 15:00:00,301.84305333333333,302.75,445.3010571657268,19.16337229030064,10.37,0.0,116,12.2
2016-05-24 15:30:00,298.43976,301.5,445.0567112983224,19.17622943407113,10.285,0.0,139,12.1
2016-05-24 16:00:00,295.26606333333336,300.25,444.6273683486161,19.198839886744903,10.709999999999999,0.0,151,12.6
2016-05-24 16:30:00,292.23423,298.5,444.2375802480958,19.21938823785945,10.88,0.0,151,12.8
2016-05-24 17:00:00,289.0888733333333,296.75,443.8096813849494,19.241968620022902,10.965,0.0,108,12.9
2016-05-24 17:30:00,286.17331666666666,295.375,443.8100277157676,19.241950334308623,10.965,0.0,61,12.9
2016-05-24 18:00:00,283.6353833333333,294.0,443.6994226238938,19.247790905737197,10.965,0.0,56,12.9
2016-05-24 18:30:00,281.2496966666667,292.375,443.6443478270596,19.250699762880053,10.795,0.0,40,12.7
2016-05-24 19:00:00,279.1515266666667,290.75,443.477827625958,19.25949719145148,10.795,0.0,32,12.7
2016-05-24 19:30:00,277.00389,289.375,443.5891669752255,19.25361462002291,10.625,0.0,11,12.5
2016-05-24 20:00:00,275.00979333333333,288.0,443.3124138260061,19.26823976288005,10.54,0.0,0,12.4
2016-05-24 20:30:00,273.3538766666666,285.75,443.3128299919064,19.26821776288005,10.37,0.0,0,12.2
2016-05-24 21:00:00,270.9822233333333,283.5,443.3118841609348,19.26826776288005,10.285,0.0,0,12.1
2016-05-24 21:30:00,269.5680033333333,283.25,443.0704932293581,19.28103237650517,10.115,0.0,0,11.9
2016-05-24 22:00:00,268.5669766666667,283.0,442.94161690509225,19.28785040368325,10.115,0.0,0,11.9
2016-05-24 22:30:00,266.95391666666666,280.0,442.0490568184985,19.3351296475356,10.030000000000001,0.0,0,11.8
2016-05-24 23:00:00,265.03834666666665,277.0,441.74001624861046,19.351523872672487,10.030000000000001,0.0,0,11.8
2016-05-24 23:30:00,263.98669333333333,277.125,441.56272848620085,19.36093439041083,9.86,0.0,0,11.6
2016-05-25 00:00:00,263.1636033333333,277.25,441.56248093762497,19.36094753326798,9.775,0.0,0,11.5
2016-05-25 00:30:00,262.10667333333333,276.0,441.5622226262281,19.36096124755369,9.69,0.0,0,11.4
